"Pseudomonas","Competitor.Community","PhagePresence","Time_day","Pop","Density"
"PAO1","Sa+Sm",1,16,"P_aeruginosa",1550000
"PAO1","Sa+Sm",1,16,"PT7",6.4e+07
"PAO1","Sa+Sm",1,16,"P_aeruginosa",5100000
"PAO1","Sa+Sm",1,16,"PT7",6.4e+07
"PAO1","Sa+Sm",1,16,"P_aeruginosa",6e+05
"lasR","Sa+Sm",1,16,"PT7",4.2e+07
"lasR","Sa+Sm",1,16,"P_aeruginosa",2300000
"lasR","Sa+Sm",1,16,"PT7",4.2e+07
"lasR","Sa+Sm",1,16,"P_aeruginosa",16500000
"lasR","Sa+Sm",1,16,"PT7",4.2e+07
"lasR","Sa+Sm",1,16,"P_aeruginosa",1.7e+07
"lasR","Sa+Sm",1,16,"PT7",4.2e+07
"lasR","Sa+Sm",1,16,"P_aeruginosa",14300000
"lasR","Sa+Sm",1,16,"PT7",4.2e+07
"lasR","Sa+Sm",1,16,"P_aeruginosa",720000
"lasR","Sa+Sm",1,16,"PT7",2.16e+08
"lasR","Sa+Sm",1,16,"P_aeruginosa",2300000
"lasR","Sa+Sm",1,16,"PT7",2.16e+08
"lasR","Sa+Sm",1,16,"P_aeruginosa",16500000
"lasR","Sa+Sm",1,16,"PT7",2.16e+08
"lasR","Sa+Sm",1,16,"P_aeruginosa",1.7e+07
"lasR","Sa+Sm",1,16,"PT7",2.16e+08
"lasR","Sa+Sm",1,16,"P_aeruginosa",14300000
"lasR","Sa+Sm",1,16,"PT7",2.16e+08
"lasR","Sa+Sm",1,16,"P_aeruginosa",720000
"lasR","Sa+Sm",1,16,"PT7",1.82e+08
"lasR","Sa+Sm",1,16,"P_aeruginosa",2300000
"lasR","Sa+Sm",1,16,"PT7",1.82e+08
"lasR","Sa+Sm",1,16,"P_aeruginosa",16500000
"lasR","Sa+Sm",1,16,"PT7",1.82e+08
"lasR","Sa+Sm",1,16,"P_aeruginosa",1.7e+07
"lasR","Sa+Sm",1,16,"PT7",1.82e+08
"lasR","Sa+Sm",1,16,"P_aeruginosa",14300000
"lasR","Sa+Sm",1,16,"PT7",1.82e+08
"lasR","Sa+Sm",1,16,"P_aeruginosa",720000
"lasR","Sa+Sm",1,16,"PT7",1.22e+08
"lasR","Sa+Sm",1,16,"P_aeruginosa",2300000
"lasR","Sa+Sm",1,16,"PT7",1.22e+08
"lasR","Sa+Sm",1,16,"P_aeruginosa",16500000
"lasR","Sa+Sm",1,16,"PT7",1.22e+08
"lasR","Sa+Sm",1,16,"P_aeruginosa",1.7e+07
"lasR","Sa+Sm",1,16,"PT7",1.22e+08
